comment,sentiment_score
其实觉得也没有很烂啊就只是觉得一般主要大部分人觉得是鹿晗主演就有了偏见,0.784201484
好淘气啊,0.578529605
来了！八点见,0.5
宣发不给力,0.205173852
虽然我不是鹿晗粉，但是我觉得他人其实蛮不错的，看他的综艺节目，觉得他是一个很善良的人，很坦率，也不会装，明星也是人，一直被人攻击水都不会舒服！,0.998653312
我看上海堡垒热度挺大的，还劳烦你们在这里喷,0.291644495
开心,0.742857143
"很多人没有看就打1分,评论都是复制,一面倒的骂,有收了钱去黑,有跟黑,看过的人都覚得是中国科幻片的起步,已经很不错了",0.996833828
来了来了,0.833333333
可以说是灰常期待啦,0.534856162
鹿晗：管他呢反正钱我已经到手了,0.191685199
淘票票才6.6…感受一下…别浪费钱了,0.018144331
真好,0.659726198
八点酷狗见,0.298508129
不应该是鹿晗粉丝差吗？六千万人一人一张票最少也10亿了。再有一半二刷也应该十五亿保底啊。这应该是lh带过的最差的一届粉丝,0.000379334
我也看到了，今天看流浪地球去了,0.9976651
这是个网瘾少年啊,0.970069549
还没看,0.460721784
高三岁又幽默了,0.824427247
弹幕评论刷起来！！！！,0.082721795
某个小鲜肉，军人带帽子怕压着头发啊，好好谈你的恋爱上你的综艺，小鲜肉就别给中国军人丢人了,0.173175355
透的初衷希望大家能懂，帮你们省银子看堡垒。,0.578991316
期待8月9日的到来。,0.275799987
电影拍不好当然是导演的责任。,0.528110137
我想知道，有些电影买票时候显示好多座位已买可是去的时候根本没人坐的。这是影院弄的还是宣发团队弄的？？？？算假票房？？,0.012954303
这个电影的失败，我觉得是循环来的，首先是导演，非要挑鹿晗来演，说明他对自己没信心，其次是编剧，故事没讲好，可能也是因为要配合鹿晗吧，其次是鹿晗，没有摆脱偶像包袱，演技确实需要磨练，最后是特效，特效其实还行，不过这片子投资的大头都被演员拿了吧，就这点钱做特效做成这样也算不容易了,0.999999958
期待上海堡垒,0.600403413
可以闭上你的嘴吗？想赚钱想疯了是吧,0.271124827
只能说看之前期望挺大的，看完之后嗯......,0.400069362
主要是6000万粉丝不给力,0.672868811
哎呀老期待了,0.705680276
期待超级期待,0.762236174
对手太强大呀，讲真的我宁愿多刷一遍哪吒~,0.974912301
昨天看了，感觉没有评论说的那么糟糕，说得太夸张了,0.075001958
没来呢,0.353878603
一部很好的谈情怀的小说，作者非要作死改成硬科幻电影，你说改成硬科幻就算了还要由一个拍感情片的导演拍，你说一个感情片导演拍就算了，还要找青春偶像的演员演，得~都砸了,0.999988531
我今天去看票卖完了哭泣,0.933159747
终于等到你！,0.579515389
哈哈哈哈哈我的重点是他打游戏好菜,0.952235072
猫眼6.0了…,0.414938531
不行票房也能过亿？,0.632893448
原来是流浪地球的贴片，我说自己看的怎么没有。算了，等着正片吧。,0.99922532
期待?(??3｀?)?,0.66602234
这电影和他打游戏有关？？？,0.457071844
看过了还可以其实,0.634048304
有可能鹿晗这次真的想证明自己不是流量艺人，也很努力在演戏，也很辛苦。可是，好的剧本、导演、团队、演员才能共同打造一部好电影。演员也会觉得委屈为什么自己努力得不到大家认可，因为拍戏本来就不只是演员的事情。没有资历的演员遇到好导演也能瞬间成长，导演才是决定这条过不过的人,1
啊啊啊啊堡垒啊,0.879443357
期待！影院见,0.692594932
我猜各位长这么大应该是从来没有受过挫折的吧？不然照博主这意思，遇到事就不能正常生活娱乐了，那我们中国的人口早到不了14亿了，多给国家减负呀，都不活了呗,0.99644418
我觉得还可以啊,0.574668298
点这个链接吗,0.312102158
我觉得鹿粉在网上刷评论还不如每人刷他二三十张电影票，自己看或者送家人朋友亲戚都可以，把票房刷到三十几亿，比在网上斗嘴有用多了。,0.00445433
啊啊啊啊啊好期待,0.965186962
8月9日，我们不见不散,0.011318758
好惨。。。。。,0.649576394
鹿晗粉丝不傻啊,0.411660983
电影烂剧本烂投资人真把造假的流量当成真的了鹿晗有粉丝？不就是网上刷的,0.003752694
期待堡垒,0.66602234
8月9号不见不散,0.156615522
不是“打游戏怎么了”的问题，问题是凭什么说这是鹿晗的ID？有什么证据证明？整天满嘴造他的谣真的很爽吧？,0.890079608
看之前不知道在讲什么看之后还是不知道,0.452744885
翻牌永远没有我什么事,0.609906684
一个看技术一个看脸,0.377371592
我准备好了！江洋暑期见！,0.511596265
你咋就知道这号是他的？就这么确定？,0.5
